acc_x,acc_y,acc_z,alt,label
-0.170898,0.007202,0.961182,332.230042,none
-0.172241,0.025391,0.963501,332.176025,none
-0.171021,0.000977,0.969604,332.176025,none
-0.169067,-0.007202,0.965698,332.2565,none
-0.15332,0.014526,0.961792,332.2565,none
-0.169312,0.02124,0.966797,332.293365,none
-0.178467,0.01355,0.963989,332.293365,none
-0.17749,0.000122,0.960449,332.372284,none
-0.169312,0.00415,0.963135,332.287659,none
-0.158203,0.015015,0.969482,332.287659,none
-0.169312,0.011597,0.963379,332.262726,none
-0.175049,0.008423,0.963379,332.262726,none
-0.174438,0.006226,0.964355,332.076874,none
-0.1698,0.009521,0.966553,332.076874,none
-0.162964,0.012451,0.963989,332.270538,none
-0.161499,0.011353,0.962524,332.270538,none
-0.173462,0.01001,0.96228,332.089325,none
-0.172119,0.011719,0.965698,332.206665,none
-0.173096,0.018188,0.968262,332.206665,none
-0.164185,0.013184,0.965576,332.386292,none
-0.160767,0.002197,0.972168,332.386292,none
-0.157593,0.020752,0.95752,332.466766,none
-0.172852,0.03064,0.964478,332.466766,none
-0.168213,0.015503,0.964355,332.103363,none
-0.162354,0.016602,0.963623,332.103363,none
-0.176514,0.00647,0.96875,331.973053,none
-0.164551,0.005859,0.958862,331.779907,none
-0.166382,0.011475,0.966919,331.779907,none
-0.17041,0.026489,0.962524,331.967865,none
-0.169678,0.024048,0.968872,331.967865,none
-0.175415,0.004395,0.959229,331.893616,none
-0.1698,0.008789,0.968628,331.893616,none
-0.171631,0.008179,0.964355,332.111664,none
-0.173218,0.012817,0.96521,332.111664,none
-0.173096,0.016235,0.960205,332.097656,none
-0.163696,0.018921,0.966675,332.022888,none
-0.165649,0.013428,0.96167,332.022888,none
-0.166626,0.01123,0.966187,331.942413,none
-0.178711,0.010376,0.9646,331.942413,none
-0.169312,0.009644,0.965454,332.016663,none
-0.17688,0.01355,0.959106,332.016663,none
-0.165527,0.014893,0.971313,332.283508,none
-0.168457,0.011353,0.962769,332.283508,none
-0.16333,0.012207,0.971191,332.087769,none
-0.167725,0.019165,0.963013,332.130341,none
-0.168945,0.012939,0.966187,332.130341,none
-0.167847,0.01355,0.965332,332.287659,none
-0.163452,0.016846,0.964478,332.287659,none
-0.166626,0.010498,0.969604,332.151642,none
-0.165039,-0.00354,0.960815,332.151642,none
-0.182617,0.02771,0.96582,332.143341,none
-0.159424,0.008301,0.965576,332.143341,none
-0.165161,0.007324,0.965942,332.230042,none
-0.164673,0.010986,0.963867,332.230042,none
-0.173584,0.017334,0.962524,331.940857,none
-0.172729,0.01062,0.968872,332.041565,none
-0.164429,0.012939,0.955933,332.041565,none
-0.169312,0.007202,0.973145,331.906067,none
-0.167725,0.016479,0.954956,331.906067,none
-0.165283,0.013306,0.973877,332.114258,none
-0.172363,0.015259,0.960815,332.114258,none
-0.164307,0.008423,0.965698,332.099731,none
-0.169434,0.010254,0.963745,332.099731,none
-0.16748,0.016724,0.966553,332.180206,none
-0.174194,0.011108,0.963623,332.028076,none
-0.172729,0.011963,0.958618,332.028076,none
-0.171631,0.013062,0.96582,331.983948,none
-0.161377,0.016602,0.964844,331.983948,none
-0.167358,0.005859,0.969116,331.917999,none
-0.172119,0.009521,0.954468,331.917999,none
-0.177734,0.018188,0.969482,331.96994,none
-0.18457,0.019409,0.956787,331.96994,none
-0.173706,0.01416,0.971436,332.068573,none
-0.162109,0.008911,0.960083,332.178101,none
-0.15271,0.018066,0.973633,332.178101,none
-0.188843,0.012817,0.959229,331.788208,none
-0.173462,0.013672,0.96582,331.788208,none
-0.175415,0.011475,0.963013,331.845856,none
-0.15686,0.012451,0.975464,331.845856,none
-0.163452,0.01355,0.955933,331.924774,none
